2020-01-23 09:34:00	Temperature 5.55	| Altitude : 5.56	| Pression : 5.56	| Humidite : 5.56	| Feu : 1
2020-01-23 09:34:18	Temperature 6.66	| Altitude : 4.22	| Pression : 4.25	| Humidite : 52.00	| Feu : 0
2020-01-23 09:44:43	Temperature 7.77	| Altitude : 7.55	| Pression : 7.77	| Humidite : 6425.00	| Feu : 0
2020-01-23 11:41:53	Temperature 28.15	| Altitude : 30.35	| Pression : 1006.59	| Humidite : 55.58	| Feu : 0
2020-01-23 11:41:55	Temperature 28.16	| Altitude : 30.34	| Pression : 1006.61	| Humidite : 55.44	| Feu : 0
2020-01-23 11:41:58	Temperature 28.17	| Altitude : 30.32	| Pression : 1006.65	| Humidite : 55.09	| Feu : 0
2020-01-23 11:42:01	Temperature 28.16	| Altitude : 30.51	| Pression : 1006.64	| Humidite : 55.14	| Feu : 0
2020-01-23 11:42:04	Temperature 28.15	| Altitude : 30.44	| Pression : 1006.62	| Humidite : 55.39	| Feu : 0
2020-01-23 11:42:07	Temperature 28.14	| Altitude : 30.33	| Pression : 1006.63	| Humidite : 55.29	| Feu : 0
2020-01-23 11:42:13	Temperature 28.15	| Altitude : 30.41	| Pression : 1006.62	| Humidite : 55.38	| Feu : 0
2020-01-23 11:42:15	Temperature 28.15	| Altitude : 30.54	| Pression : 1006.61	| Humidite : 55.43	| Feu : 0
2020-01-23 11:42:18	Temperature 28.15	| Altitude : 30.70	| Pression : 1006.60	| Humidite : 55.51	| Feu : 0
2020-01-23 11:42:21	Temperature 28.15	| Altitude : 30.51	| Pression : 1006.62	| Humidite : 55.38	| Feu : 0
2020-01-23 11:42:24	Temperature 28.17	| Altitude : 30.42	| Pression : 1006.65	| Humidite : 55.09	| Feu : 0
2020-01-23 11:42:27	Temperature 28.17	| Altitude : 30.36	| Pression : 1006.62	| Humidite : 55.31	| Feu : 0
2020-01-23 11:42:30	Temperature 28.14	| Altitude : 30.10	| Pression : 1006.61	| Humidite : 55.43	| Feu : 0
2020-01-23 11:42:33	Temperature 28.16	| Altitude : 29.86	| Pression : 1006.61	| Humidite : 55.43	| Feu : 0
2020-01-23 11:42:37	Temperature 28.18	| Altitude : 29.89	| Pression : 1006.65	| Humidite : 55.08	| Feu : 0
2020-01-23 11:42:39	Temperature 28.18	| Altitude : 29.97	| Pression : 1006.65	| Humidite : 55.06	| Feu : 0
2020-01-23 11:42:42	Temperature 28.20	| Altitude : 29.67	| Pression : 1006.64	| Humidite : 55.14	| Feu : 0
2020-01-23 11:42:45	Temperature 28.20	| Altitude : 29.53	| Pression : 1006.65	| Humidite : 55.11	| Feu : 0
2020-01-23 11:42:49	Temperature 28.21	| Altitude : 29.29	| Pression : 1006.61	| Humidite : 55.42	| Feu : 0
2020-01-23 11:42:52	Temperature 28.22	| Altitude : 29.39	| Pression : 1006.66	| Humidite : 55.05	| Feu : 0
2020-01-23 11:42:55	Temperature 28.25	| Altitude : 29.60	| Pression : 1006.64	| Humidite : 55.20	| Feu : 1
2020-01-23 11:42:58	Temperature 28.30	| Altitude : 29.77	| Pression : 1006.65	| Humidite : 55.06	| Feu : 1
2020-01-23 11:43:01	Temperature 28.30	| Altitude : 29.58	| Pression : 1006.64	| Humidite : 55.16	| Feu : 1
2020-01-23 11:43:04	Temperature 28.29	| Altitude : 30.30	| Pression : 1006.65	| Humidite : 55.10	| Feu : 0
2020-01-23 11:43:07	Temperature 28.28	| Altitude : 29.99	| Pression : 1006.66	| Humidite : 55.02	| Feu : 0
2020-01-23 11:43:10	Temperature 28.27	| Altitude : 30.35	| Pression : 1006.66	| Humidite : 54.97	| Feu : 0
2020-01-23 11:43:13	Temperature 28.27	| Altitude : 31.21	| Pression : 1006.65	| Humidite : 55.09	| Feu : 0
2020-01-23 11:43:16	Temperature 28.26	| Altitude : 31.39	| Pression : 1006.65	| Humidite : 55.11	| Feu : 0
2020-01-23 11:43:19	Temperature 28.26	| Altitude : 31.51	| Pression : 1006.63	| Humidite : 55.24	| Feu : 0
2020-01-23 11:43:23	Temperature 28.26	| Altitude : 31.06	| Pression : 1006.67	| Humidite : 54.91	| Feu : 0
2020-01-23 11:43:26	Temperature 28.27	| Altitude : 30.63	| Pression : 1006.67	| Humidite : 54.96	| Feu : 0
2020-01-23 11:43:29	Temperature 28.26	| Altitude : 30.53	| Pression : 1006.66	| Humidite : 54.99	| Feu : 0
2020-01-23 11:43:32	Temperature 28.26	| Altitude : 30.44	| Pression : 1006.66	| Humidite : 54.97	| Feu : 0
